Stock Name,Basic Industry,Sector,Company Name
MUKTAARTS,Film Production & Distribution,Media Entertainment & Publication,Mukta Arts Limited
SUDARSCHEM,Chemicals Specialty,Chemicals,Sudarshan Chemical Industries Limited
RENUKA,Sugar,FMCG,Shree Renuka Sugars Limited
RKDL,Breweries & Distilleries,FMCG,Ravi Kumar Distilleries Limited
ZIMLAB,Pharmaceuticals,Healthcare,Zim Laboratories Limited
SURYALAXMI,Textiles,Textiles,Suryalakshmi Cotton Mills Limited
KRONOX,Chemicals Specialty,Chemicals,Kronox Lab Sciences Limited
ARKADE,Real Estate,Realty,Arkade Developers Limited
BALMLAWRIE,Diversified Operations,Diversified,Balmer Lawrie & Company Limited
GEEKAYWIRE,Electrical - Power Equipment,Capital Goods,Geekay Wires Limited
BASML,Textiles,Textiles,Bannari Amman Spinning Mills Limited
GREENPOWER,Energy-Alternative,Power,Orient Green Power Company Limited
CLSEL,Food Products,FMCG,Chaman Lal Setia Exports Limited
MADRASFERT,Fertilizers,Chemicals,Madras Fertilizers Limited
JKIL,Civil Construction,Construction,J.Kumar Infraprojects Limited
MIDHANI,Aerospace & Defense,Capital Goods,Mishra Dhatu Nigam Limited
REDTAPE,Footwear,Consumer Durables,Redtape Limited
SUVIDHAA,Finance & Investment,Financial Services,Suvidhaa Infoserve Limited
SHILPAMED,Medical-Diversified,Healthcare,Shilpa Medicare Limited
SHOPERSTOP,Diversified Retail,Consumer Services,Shoppers Stop Limited
TIIL,Construction Products Miscallaneous,Construction,Technocraft Industries (India) Limited
TPLPLASTEH,Packaging,Capital Goods,TPL Plastech Limited
SHIVAMAUTO,Auto Ancilaries,Auto,Shivam Autotech Limited
TVTODAY,TV Broadcasting & Software,Media Entertainment & Publication,TV Today Network Limited
SHEKHAWATI,Textiles,Textiles,Shekhawati Industries Limited
PARKHOTELS,Hotels,Consumer Services,Apeejay Surrendra Park Hotels Limited
SINCLAIR,Hotels,Consumer Services,Sinclairs Hotels Limited
MASTERTR,Finance & Investment,Financial Services,Master Trust Limited
PRIMO,Chemicals Specialty,Chemicals,Primo Chemicals Limited
PICCADIL,Sugar,FMCG,Piccadily Agro Industries Limited
SRPL,Food Products,FMCG,SHREE RAM PROTEINS LIMITED
